127.0.0.1 - - [15/Jul/2021:13:04:05 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/Jul/2021:13:08:25 +0900] "GET /day2/hello.html HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [15/Jul/2021:13:08:25 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Jul/2021:13:09:47 +0900] "GET /day2/step1/a.html HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [15/Jul/2021:13:09:47 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Jul/2021:13:11:01 +0900] "GET /day2/step1/a.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2021:13:11:03 +0900] "GET /day2/hello.html HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [15/Jul/2021:13:16:07 +0900] "GET /day2/step1/b.html HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [15/Jul/2021:13:16:07 +0900] "GET /day2/step1/daum.png HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [15/Jul/2021:13:17:17 +0900] "GET /day2/step1/b.html HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [15/Jul/2021:13:17:17 +0900] "GET /day2/imgs/daum.png HTTP/1.1" 200 4923
0:0:0:0:0:0:0:1 - - [15/Jul/2021:13:19:17 +0900] "GET /day2/step1/b.html HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [15/Jul/2021:13:19:17 +0900] "GET /day2/imgs/daum.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2021:13:19:32 +0900] "GET /day2/step1/b.html HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [15/Jul/2021:13:20:05 +0900] "GET /day2/step1/b.html HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [15/Jul/2021:13:20:05 +0900] "GET /day2/imgs/daum.png HTTP/1.1" 200 4923
0:0:0:0:0:0:0:1 - - [15/Jul/2021:13:20:31 +0900] "GET /day2/step1/b.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2021:13:23:02 +0900] "GET /day2/step1/b.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2021:13:23:02 +0900] "GET /day2/imgs/daum.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2021:13:25:07 +0900] "GET /day2/step1/b.html HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [15/Jul/2021:13:25:07 +0900] "GET /day2/imgs/daum.png%20width= HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [15/Jul/2021:13:27:34 +0900] "GET /day2/step1/b.html HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [15/Jul/2021:13:27:34 +0900] "GET /day2/imgs/daum.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2021:13:32:01 +0900] "GET /day2/step1/c.html HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [15/Jul/2021:13:34:25 +0900] "GET /day2/step1/c.html HTTP/1.1" 200 391
0:0:0:0:0:0:0:1 - - [15/Jul/2021:13:36:31 +0900] "GET /day2/step1/c.html HTTP/1.1" 200 474
0:0:0:0:0:0:0:1 - - [15/Jul/2021:13:37:59 +0900] "GET /day2/step1/c.html HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [15/Jul/2021:13:43:56 +0900] "GET /day2/step1/d.html HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [15/Jul/2021:13:44:30 +0900] "GET /day2/step1/d.html HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [15/Jul/2021:13:48:33 +0900] "GET /day2/step1/d.html HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [15/Jul/2021:13:49:00 +0900] "GET /day2/step1/d.html HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [15/Jul/2021:13:49:16 +0900] "GET /day2/step1/d.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2021:13:49:17 +0900] "GET /day2/step1/d.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2021:13:49:19 +0900] "GET /day2/step1/d.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2021:13:49:38 +0900] "GET /day2/step1/d.html HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [15/Jul/2021:13:49:49 +0900] "GET /day2/step1/d.html HTTP/1.1" 200 426
0:0:0:0:0:0:0:1 - - [15/Jul/2021:13:49:59 +0900] "GET /day2/step1/d.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2021:13:50:00 +0900] "GET /day2/step1/d.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2021:13:50:00 +0900] "GET /day2/step1/d.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2021:13:50:00 +0900] "GET /day2/step1/d.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2021:13:50:06 +0900] "GET /day2/step1/d.html HTTP/1.1" 200 418
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:17:05 +0900] "GET /day2/step1/e.html HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:17:05 +0900] "GET /day2/css/sam.css HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:18:35 +0900] "GET /day2/step1/e.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:18:35 +0900] "GET /day2/css/sam.css HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:22:00 +0900] "GET /day2/step1/e.html HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:22:00 +0900] "GET /day2/css/sam.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:22:04 +0900] "GET /day2/step1/e.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:22:08 +0900] "GET /day2/step1/e.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:24:06 +0900] "GET /day2/step1/e.html HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:24:06 +0900] "GET /day2/css/sam.css HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:24:36 +0900] "GET /day2/step1/e.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:24:36 +0900] "GET /day2/css/sam.css HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:25:35 +0900] "GET /day2/step1/e.html HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:25:35 +0900] "GET /day2/css/sam.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:26:00 +0900] "GET /day2/step1/e.html HTTP/1.1" 200 393
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:26:00 +0900] "GET /day2/css/sam.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:26:00 +0900] "GET /day2/step1/e.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:26:05 +0900] "GET /day2/step1/e.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:31:56 +0900] "GET /day2/%EC%9E%90%EA%B8%B0%EC%86%8C%EA%B0%9C/home.html HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:32:50 +0900] "GET /day2/%EC%9E%90%EA%B8%B0%EC%86%8C%EA%B0%9C/home.html HTTP/1.1" 200 127
